domain,variable,n,mean,ci_lower,ci_upper
bbc.co.uk,BizarrenessEffect_per_argument,32,0.05325925491966362,0.03413711047754629,0.07275709499959851
kyivpost.com,BizarrenessEffect_per_argument,58,0.04120697310352482,0.02179026253918495,0.06580399485571896
sputnikglobe.com,BizarrenessEffect_per_argument,53,0.119743584199744,0.07847429292559703,0.16960944688712445
bbc.co.uk,ContrastEffect_per_argument,32,0.183703902854082,0.1437785382114327,0.22562165507564932
kyivpost.com,ContrastEffect_per_argument,58,0.16685482137934898,0.12796906944230993,0.2080548630861564
sputnikglobe.com,ContrastEffect_per_argument,53,0.27360022515405424,0.2274587455105629,0.32219678601858126
bbc.co.uk,DistinctionBias_per_argument,32,0.022657144602709116,0.008285488453079177,0.039976921432062544
kyivpost.com,DistinctionBias_per_argument,58,0.030665757412581363,0.016822363838017187,0.0467543678971764
sputnikglobe.com,DistinctionBias_per_argument,53,0.056147076194246,0.03633726271108346,0.0776500412585318
bbc.co.uk,NegativityBias_per_argument,32,0.4224561041763885,0.36653150131260387,0.48107748997328686
kyivpost.com,NegativityBias_per_argument,58,0.4597908208122257,0.3971642603516135,0.5214129463902436
sputnikglobe.com,NegativityBias_per_argument,53,0.6013513832326263,0.5294399351419329,0.6707199405909173
bbc.co.uk,OmissionBias_per_argument,32,0.01873866536153965,0.009756594422043007,0.02865348969290554
kyivpost.com,OmissionBias_per_argument,58,0.03914791823006832,0.01935464404594729,0.06185529726921714
sputnikglobe.com,OmissionBias_per_argument,53,0.17728717823057444,0.12804484954249107,0.23068637206608897
bbc.co.uk,VonRestorffEffect_per_argument,32,0.2969117359483151,0.2510141230171129,0.3443525189935545
kyivpost.com,VonRestorffEffect_per_argument,58,0.32278263709885363,0.28013680447615735,0.36759156233973067
sputnikglobe.com,VonRestorffEffect_per_argument,53,0.390189565952607,0.3389097198506882,0.4428395758730109
